Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,189,1,Some Random Commen with Id 0
1,0,0,92,8,Some Random Commen with Id 1
2,0,0,96,3,Some Random Commen with Id 2
3,0,0,109,9,Some Random Commen with Id 3
4,0,0,52,4,Some Random Commen with Id 4
5,0,0,79,2,Some Random Commen with Id 5
6,0,0,123,6,Some Random Commen with Id 6
7,0,0,187,6,Some Random Commen with Id 7
8,1,9,125,6,Some Random Commen with Id 8
9,1,9,45,2,Some Random Commen with Id 9
10,1,9,86,0,Some Random Commen with Id 10
11,1,9,15,9,Some Random Commen with Id 11
12,1,9,155,1,Some Random Commen with Id 12
13,1,9,93,3,Some Random Commen with Id 13
14,1,9,78,2,Some Random Commen with Id 14
15,1,9,118,7,Some Random Commen with Id 15
16,2,4,96,4,Some Random Commen with Id 16
17,2,4,109,7,Some Random Commen with Id 17
18,2,4,55,8,Some Random Commen with Id 18
19,2,4,54,8,Some Random Commen with Id 19
20,2,4,42,1,Some Random Commen with Id 20
21,2,4,101,5,Some Random Commen with Id 21
22,3,7,154,6,Some Random Commen with Id 22
23,5,5,156,1,Some Random Commen with Id 23
24,5,5,188,5,Some Random Commen with Id 24
25,5,5,155,3,Some Random Commen with Id 25
26,5,5,140,7,Some Random Commen with Id 26
27,5,5,161,1,Some Random Commen with Id 27
28,5,5,191,6,Some Random Commen with Id 28
29,5,5,157,2,Some Random Commen with Id 29
30,5,5,188,6,Some Random Commen with Id 30
31,6,3,140,7,Some Random Commen with Id 31
32,6,3,71,8,Some Random Commen with Id 32
33,6,3,23,7,Some Random Commen with Id 33
34,6,3,78,0,Some Random Commen with Id 34
35,7,9,64,2,Some Random Commen with Id 35
36,7,9,13,3,Some Random Commen with Id 36
37,7,9,4,7,Some Random Commen with Id 37
38,7,9,24,4,Some Random Commen with Id 38
39,7,9,81,3,Some Random Commen with Id 39
40,7,9,180,4,Some Random Commen with Id 40
41,7,9,121,0,Some Random Commen with Id 41
42,7,9,134,7,Some Random Commen with Id 42
43,7,9,116,4,Some Random Commen with Id 43
44,8,6,1,0,Some Random Commen with Id 44
45,8,6,45,6,Some Random Commen with Id 45
46,8,6,15,2,Some Random Commen with Id 46
47,8,6,6,1,Some Random Commen with Id 47
48,8,6,18,1,Some Random Commen with Id 48
49,8,6,89,8,Some Random Commen with Id 49
50,8,6,178,9,Some Random Commen with Id 50
51,8,6,66,5,Some Random Commen with Id 51
52,9,9,88,8,Some Random Commen with Id 52
53,9,9,172,7,Some Random Commen with Id 53
54,10,8,26,3,Some Random Commen with Id 54
55,10,8,4,7,Some Random Commen with Id 55
56,10,8,161,6,Some Random Commen with Id 56
57,10,8,95,3,Some Random Commen with Id 57
58,10,8,159,4,Some Random Commen with Id 58
59,11,0,118,2,Some Random Commen with Id 59
60,11,0,92,0,Some Random Commen with Id 60
61,11,0,42,3,Some Random Commen with Id 61
62,11,0,156,1,Some Random Commen with Id 62
63,11,0,131,9,Some Random Commen with Id 63
64,11,0,112,6,Some Random Commen with Id 64
65,11,0,146,8,Some Random Commen with Id 65
66,12,7,95,5,Some Random Commen with Id 66
67,12,7,146,3,Some Random Commen with Id 67
68,13,3,196,6,Some Random Commen with Id 68
69,13,3,79,2,Some Random Commen with Id 69
70,13,3,99,3,Some Random Commen with Id 70
71,13,3,100,6,Some Random Commen with Id 71
72,13,3,115,0,Some Random Commen with Id 72
73,13,3,16,9,Some Random Commen with Id 73
74,14,5,128,5,Some Random Commen with Id 74
75,14,5,59,0,Some Random Commen with Id 75
76,14,5,128,4,Some Random Commen with Id 76
77,14,5,35,6,Some Random Commen with Id 77
78,14,5,63,0,Some Random Commen with Id 78
79,14,5,66,2,Some Random Commen with Id 79
80,14,5,64,1,Some Random Commen with Id 80
81,14,5,160,3,Some Random Commen with Id 81
82,14,5,57,8,Some Random Commen with Id 82
83,15,7,156,8,Some Random Commen with Id 83
84,15,7,118,5,Some Random Commen with Id 84
85,16,1,15,1,Some Random Commen with Id 85
86,16,1,40,1,Some Random Commen with Id 86
87,16,1,177,9,Some Random Commen with Id 87
88,16,1,106,4,Some Random Commen with Id 88
89,16,1,82,5,Some Random Commen with Id 89
90,16,1,68,3,Some Random Commen with Id 90
91,16,1,47,0,Some Random Commen with Id 91
92,16,1,72,8,Some Random Commen with Id 92
93,16,1,100,6,Some Random Commen with Id 93
94,17,5,184,0,Some Random Commen with Id 94
95,17,5,102,4,Some Random Commen with Id 95
96,17,5,116,5,Some Random Commen with Id 96
97,17,5,98,1,Some Random Commen with Id 97
98,19,8,150,8,Some Random Commen with Id 98
99,19,8,147,8,Some Random Commen with Id 99
100,19,8,160,6,Some Random Commen with Id 100
101,19,8,100,4,Some Random Commen with Id 101
102,19,8,14,3,Some Random Commen with Id 102
103,19,8,173,4,Some Random Commen with Id 103
104,19,8,57,2,Some Random Commen with Id 104
105,19,8,58,9,Some Random Commen with Id 105
106,19,8,107,1,Some Random Commen with Id 106
107,20,1,182,9,Some Random Commen with Id 107
108,20,1,44,1,Some Random Commen with Id 108
109,21,4,198,7,Some Random Commen with Id 109
110,21,4,97,6,Some Random Commen with Id 110
111,21,4,111,0,Some Random Commen with Id 111
112,21,4,77,8,Some Random Commen with Id 112
113,21,4,189,0,Some Random Commen with Id 113
114,21,4,158,7,Some Random Commen with Id 114
115,22,6,67,0,Some Random Commen with Id 115
116,22,6,141,7,Some Random Commen with Id 116
117,22,6,67,9,Some Random Commen with Id 117
118,22,6,32,4,Some Random Commen with Id 118
119,23,9,174,4,Some Random Commen with Id 119
120,23,9,166,5,Some Random Commen with Id 120
121,23,9,152,8,Some Random Commen with Id 121
122,23,9,167,1,Some Random Commen with Id 122
123,23,9,108,4,Some Random Commen with Id 123
124,23,9,146,5,Some Random Commen with Id 124
125,24,1,112,0,Some Random Commen with Id 125
126,24,1,42,2,Some Random Commen with Id 126
127,24,1,41,7,Some Random Commen with Id 127
128,25,4,156,0,Some Random Commen with Id 128
129,25,4,193,8,Some Random Commen with Id 129
130,25,4,74,6,Some Random Commen with Id 130
131,25,4,86,1,Some Random Commen with Id 131
132,25,4,65,3,Some Random Commen with Id 132
133,25,4,34,6,Some Random Commen with Id 133
134,25,4,44,0,Some Random Commen with Id 134
135,25,4,53,1,Some Random Commen with Id 135
136,25,4,16,6,Some Random Commen with Id 136
137,26,7,81,6,Some Random Commen with Id 137
138,27,3,114,6,Some Random Commen with Id 138
139,27,3,142,4,Some Random Commen with Id 139
140,27,3,4,7,Some Random Commen with Id 140
141,28,1,166,9,Some Random Commen with Id 141
142,28,1,109,0,Some Random Commen with Id 142
143,28,1,178,8,Some Random Commen with Id 143
144,28,1,89,6,Some Random Commen with Id 144
145,28,1,120,5,Some Random Commen with Id 145
146,29,6,140,9,Some Random Commen with Id 146
147,29,6,104,7,Some Random Commen with Id 147
148,30,7,132,6,Some Random Commen with Id 148
149,30,7,75,7,Some Random Commen with Id 149
150,30,7,131,3,Some Random Commen with Id 150
151,30,7,80,9,Some Random Commen with Id 151
152,30,7,36,6,Some Random Commen with Id 152
153,31,0,18,9,Some Random Commen with Id 153
154,31,0,4,1,Some Random Commen with Id 154
155,31,0,45,0,Some Random Commen with Id 155
156,31,0,0,6,Some Random Commen with Id 156
157,31,0,68,9,Some Random Commen with Id 157
158,31,0,157,8,Some Random Commen with Id 158
159,31,0,192,9,Some Random Commen with Id 159
160,31,0,179,5,Some Random Commen with Id 160
161,32,7,13,2,Some Random Commen with Id 161
162,32,7,31,5,Some Random Commen with Id 162
163,32,7,93,2,Some Random Commen with Id 163
164,32,7,108,1,Some Random Commen with Id 164
165,34,3,33,6,Some Random Commen with Id 165
166,34,3,172,6,Some Random Commen with Id 166
167,34,3,171,3,Some Random Commen with Id 167
168,34,3,44,7,Some Random Commen with Id 168
169,34,3,102,4,Some Random Commen with Id 169
170,34,3,51,4,Some Random Commen with Id 170
171,34,3,124,9,Some Random Commen with Id 171
172,34,3,138,9,Some Random Commen with Id 172
173,34,3,123,7,Some Random Commen with Id 173
174,35,2,130,4,Some Random Commen with Id 174
175,35,2,148,3,Some Random Commen with Id 175
176,35,2,185,5,Some Random Commen with Id 176
177,36,3,110,3,Some Random Commen with Id 177
178,36,3,73,3,Some Random Commen with Id 178
179,37,0,109,5,Some Random Commen with Id 179
180,37,0,166,9,Some Random Commen with Id 180
181,37,0,183,5,Some Random Commen with Id 181
182,37,0,122,7,Some Random Commen with Id 182
183,37,0,163,7,Some Random Commen with Id 183
184,37,0,192,4,Some Random Commen with Id 184
185,38,4,193,6,Some Random Commen with Id 185
186,38,4,110,5,Some Random Commen with Id 186
187,39,3,23,2,Some Random Commen with Id 187
